NLOC,CCN,token,PARAM,length,TA,student,task,class,method
4,1,24,0,4,linus,briano,7,DrawDemo,DrawDemo
5,1,32,0,6,linus,briano,7,DrawDemo,drawSquare
5,1,32,0,7,linus,briano,7,DrawDemo,drawTriangle
8,2,55,0,9,linus,briano,7,DrawDemo,drawWheel
5,1,32,0,6,linus,briano,7,DrawDemo,drawPentagon
12,4,59,1,12,linus,briano,7,DrawDemo,drawPolygom
9,2,59,0,11,linus,briano,7,DrawDemo,spiral
6,2,37,1,6,linus,briano,7,DrawDemo,pentagon
6,2,37,1,6,linus,briano,7,DrawDemo,square
6,2,37,1,7,linus,briano,7,DrawDemo,triangle
10,2,85,0,13,linus,briano,7,DrawDemo,colorScribble
3,1,11,0,3,linus,briano,7,DrawDemo,clear
4,1,23,1,6,linus,briano,7,DrawDemo,main
3,1,22,0,3,linus,briano,7,Pen,Pen
9,1,46,3,9,linus,briano,7,Pen,Pen
6,1,68,1,7,linus,briano,7,Pen,move
8,2,44,2,9,linus,briano,7,Pen,moveTo
3,1,13,1,3,linus,briano,7,Pen,turn
3,1,11,1,3,linus,briano,7,Pen,turnTo
3,1,11,1,3,linus,briano,7,Pen,setColor
3,1,9,0,3,linus,briano,7,Pen,penUp
3,1,9,0,3,linus,briano,7,Pen,penDown
6,2,43,0,7,linus,briano,7,Pen,randomSquiggle
3,1,20,1,3,linus,briano,7,Canvas,Canvas
3,1,26,3,3,linus,briano,7,Canvas,Canvas
10,1,72,4,10,linus,briano,7,Canvas,Canvas
11,2,90,1,13,linus,briano,7,Canvas,setVisible
3,1,12,0,3,linus,briano,7,Canvas,isVisible
4,1,20,1,4,linus,briano,7,Canvas,draw
4,1,20,1,4,linus,briano,7,Canvas,fill
4,1,37,3,4,linus,briano,7,Canvas,fillCircle
3,1,31,4,3,linus,briano,7,Canvas,fillRectangle
8,1,64,0,8,linus,briano,7,Canvas,erase
4,1,37,3,4,linus,briano,7,Canvas,eraseCircle
3,1,31,4,3,linus,briano,7,Canvas,eraseRectangle
7,1,43,1,7,linus,briano,7,Canvas,erase
7,1,43,1,7,linus,briano,7,Canvas,eraseOutline
5,1,38,3,5,linus,briano,7,Canvas,drawImage
4,1,30,3,4,linus,briano,7,Canvas,drawString
7,1,53,3,7,linus,briano,7,Canvas,eraseString
4,1,35,4,4,linus,briano,7,Canvas,drawLine
3,1,14,1,3,linus,briano,7,Canvas,setForegroundColor
3,1,12,0,3,linus,briano,7,Canvas,getForegroundColor
4,1,18,1,4,linus,briano,7,Canvas,setBackgroundColor
3,1,8,0,3,linus,briano,7,Canvas,getBackgroundColor
3,1,14,1,3,linus,briano,7,Canvas,setFont
3,1,12,0,3,linus,briano,7,Canvas,getFont
10,1,89,2,10,linus,briano,7,Canvas,setSize
3,1,12,0,3,linus,briano,7,Canvas,getSize
6,2,24,1,7,linus,briano,7,Canvas,wait
3,1,20,1,3,linus,briano,7,Canvas,CanvasPane::paint
4,1,30,1,4,linus,briano,7,NameGenerator,main
3,1,17,0,3,linus,briano,7,BallDemo,BallDemo
23,5,195,1,32,linus,briano,7,BallDemo,bounce
26,4,246,1,31,linus,briano,7,BallDemo,boxBounce
4,1,24,1,5,linus,briano,7,BallDemo,main
11,1,77,6,11,linus,briano,7,BoxBall,BoxBall
4,1,23,0,4,linus,briano,7,BoxBall,draw
3,1,16,0,3,linus,briano,7,BoxBall,erase
26,7,107,0,34,linus,briano,7,BoxBall,move
3,1,8,0,3,linus,briano,7,BoxBall,getXPosition
3,1,8,0,3,linus,briano,7,BoxBall,getYPosition
8,1,46,6,8,linus,briano,7,BouncingBall,BouncingBall
4,1,23,0,4,linus,briano,7,BouncingBall,draw
3,1,16,0,3,linus,briano,7,BouncingBall,erase
11,3,59,0,18,linus,briano,7,BouncingBall,move
